date,new_cases,people_fully_vaccinated
10.01.21,2876,250000
10.01.21,1569,184
10.01.21,6729,3952
10.01.21,0,49
10.01.21,8449,7
10.01.21,948,1821
10.01.21,1246,9
10.01.21,427,14
10.01.21,54957,391399
10.01.21,6886,61
10.01.21,5885,6042
10.01.21,18625,15
10.01.21,616,11
10.01.21,555,30
10.01.21,76499,256051
10.01.21,93510,2125
10.01.21,184790,393603
10.01.21,388127,1847654
10.01.21,235698,1198000
10.01.21,589469,1847654
10.01.21,42,9
10.01.21,763,3
10.01.21,212946,1194048
11.01.21,960,203
11.01.21,8249,3963
11.01.21,6523,59
11.01.21,4289,9
11.01.21,11706,1922
11.01.21,1239,9
11.01.21,289,15
11.01.21,46191,412167
11.01.21,4926,67
11.01.21,9754,25297
11.01.21,12530,18
11.01.21,331,11
11.01.21,429,40
11.01.21,74317,275308
11.01.21,127491,2395
11.01.21,213573,414661
11.01.21,413966,2209606
11.01.21,227037,1519637
11.01.21,614273,2209606
11.01.21,5604,138
11.01.21,22,11
11.01.21,432,3
11.01.21,203636,1515674
12.01.21,2099,234
12.01.21,6391,5516
12.01.21,2851,66
12.01.21,9345,11
12.01.21,27210,1986
12.01.21,1076,10
12.01.21,333,18
12.01.21,45544,428232
12.01.21,3052,73
12.01.21,8990,60958
12.01.21,14242,18
12.01.21,878,14
12.01.21,712,49
12.01.21,82134,310971
12.01.21,156112,2505
12.01.21,240394,430852
12.01.21,451223,2577366
12.01.21,251679,1835543
12.01.21,703185,2577366
12.01.21,7259,138
12.01.21,17,13
12.01.21,1874,3
12.01.21,220490,1830027
13.01.21,2927,373
13.01.21,7082,13286
13.01.21,3001,192
13.01.21,3390,1032
13.01.21,10801,11
13.01.21,25566,2187
13.01.21,1358,15
13.01.21,853,22
13.01.21,47539,437977
13.01.21,3553,77
13.01.21,9997,117820
13.01.21,15773,18
13.01.21,1255,20
13.01.21,667,59
13.01.21,87303,367834
13.01.21,177391,2866
13.01.21,265729,441094
13.01.21,486370,2922952
13.01.21,262233,2112992
13.01.21,100784,1032
13.01.21,750210,2922952
13.01.21,10556,138
13.01.21,38,14
13.01.21,2092,5
13.01.21,229793,2099706
14.01.21,3510,1
14.01.21,2637,400
14.01.21,7262,16356
14.01.21,2474,259
14.01.21,4187,5829
14.01.21,10922,15
14.01.21,21343,2403
14.01.21,0,16
14.01.21,630,30
14.01.21,48695,443234
14.01.21,3913,80
14.01.21,9754,186651
14.01.21,17243,18
14.01.21,950,25
14.01.21,454,69
14.01.21,86325,436666
14.01.21,168549,3132
14.01.21,259785,446694
14.01.21,485881,3140426
14.01.21,266351,2251237
14.01.21,110076,5829
14.01.21,756918,3140426
14.01.21,10698,138
14.01.21,45,15
14.01.21,1793,6
14.01.21,234461,2234881
15.01.21,1528,4
15.01.21,2203,428
15.01.21,6844,19413
15.01.21,2396,313
15.01.21,4468,8304
15.01.21,945,55
15.01.21,8083,16
15.01.21,8593,3325
15.01.21,2161,21
15.01.21,475,41
15.01.21,55777,447442
15.01.21,3491,82
15.01.21,5235,222578
15.01.21,16144,18
15.01.21,1084,25
15.01.21,21366,1958
15.01.21,466,72
15.01.21,82582,472596
15.01.21,149971,4252
15.01.21,247740,452079
15.01.21,482882,3307244
15.01.21,283389,2376278
15.01.21,128920,8304
15.01.21,221127,2013
15.01.21,774255,3309257
15.01.21,10663,138
15.01.21,30,18
15.01.21,1544,154
15.01.21,247927,2354852
16.01.21,1723,16
16.01.21,2120,442
16.01.21,6060,20597
16.01.21,0,318
16.01.21,4313,8371
16.01.21,9301,20
16.01.21,14817,4549
16.01.21,879,31
16.01.21,595,44
16.01.21,21406,83
16.01.21,41345,450062
16.01.21,510,2
16.01.21,3232,85
16.01.21,8450,248581
16.01.21,16310,18
16.01.21,1031,26
16.01.21,20523,2221
16.01.21,243,76
16.01.21,85560,498601
16.01.21,108679,5608
16.01.21,187352,456064
16.01.21,394439,3410122
16.01.21,250419,2449362
16.01.21,100716,8371
16.01.21,189353,2276
16.01.21,651609,3412398
16.01.21,10947,138
16.01.21,24,20
16.01.21,1540,154
16.01.21,215544,2426489
17.01.21,1267,404
17.01.21,1630,467
17.01.21,6052,21855
17.01.21,0,321
17.01.21,4339,8371
17.01.21,5253,656
17.01.21,11484,21565
17.01.21,889,661
17.01.21,388,110
17.01.21,236,5
17.01.21,16642,124
17.01.21,38605,452301
17.01.21,2946,89
17.01.21,8190,333159
17.01.21,12544,3007
17.01.21,842,1094
17.01.21,567,31
17.01.21,11170,3434
17.01.21,206,84
17.01.21,526,673
17.01.21,75175,583855
17.01.21,83359,34572
17.01.21,157052,487278
17.01.21,329339,3569007
17.01.21,201525,2493867
17.01.21,68952,8371
17.01.21,140312,4364
17.01.21,529351,3573371
17.01.21,5970,671
17.01.21,10385,1299
17.01.21,2156,875
17.01.21,30,23
17.01.21,1701,2800
17.01.21,569,155
17.01.21,0,557
17.01.21,178539,2468523
18.01.21,1161,1330
18.01.21,932,629
18.01.21,570,1114
18.01.21,6125,22590
18.01.21,4703,1076
18.01.21,3918,8371
18.01.21,1829,132
18.01.21,2693,2483
18.01.21,9253,37195
18.01.21,807,2336
18.01.21,84287,2315
18.01.21,265,487
18.01.21,3736,282
18.01.21,37542,456866
18.01.21,318,423
18.01.21,875,1643
18.01.21,2117,94
